City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
159,bardsir,29.9227,56.5743,56.57,49,1,11.36,IR,1712874736
160,tsiombe,-25.3,45.4833,68.11,88,95,4.61,MG,1712874737
161,caluula,11.9661,50.7569,82.26,73,92,8.3,SO,1712874711
162,kuta,-8.7233,115.1723,80.55,94,40,2.3,ID,1712874739
163,hobyo,5.3505,48.5268,83.44,78,62,10.11,SO,1712874740
164,kamaishi,39.2667,141.8833,52.66,80,100,5.41,JP,1712874741
165,afaahiti,-17.75,-149.2833,85.87,86,98,16.73,PF,1712874509
166,badger,64.8,-147.5333,43.36,44,75,9.22,US,1712874166
167,nuuk,64.1835,-51.7216,27.21,93,75,8.05,GL,1712874672
168,onega,63.9061,38.1404,35.46,83,20,15.08,RU,1712874745
169,woolgoolga,-30.1106,153.2007,67.87,65,0,12.17,AU,1712874746
170,greymouth,-42.4667,171.2,53.96,86,77,11.5,NZ,1712874747
171,banda aceh,5.5577,95.3222,80.02,79,91,5.41,ID,1712874747
172,celestun,20.8667,-90.4,77.61,58,21,17.22,MX,1712874748
173,tubarjal,30.4999,38.216,65.28,50,0,9.6,SA,1712874749
174,atafu village,-8.5421,-172.5159,85.1,76,47,7.49,TK,1712874214
175,isafjordur,66.0755,-23.124,26.94,94,100,31.18,IS,1712874487
176,bandarbeyla,9.4942,50.8122,82.22,84,36,6.04,SO,1712874588
177,nova sintra,14.8667,-24.7167,72.79,76,2,16.51,CV,1712874752
178,kapuskasing,49.4169,-82.4331,60.89,36,100,5.75,CA,1712874509
179,joaquin v. gonzalez,-25.0833,-64.1833,56.71,96,100,5.66,AR,1712874754
180,saipan,15.1355,145.701,84.9,70,40,14.97,MP,1712874755
181,dudinka,69.4058,86.1778,-14.39,100,85,7.94,RU,1712874756
182,el hadjira,32.6134,5.5126,55.18,69,22,9.15,DZ,1712874757
183,mawlaik,23.6333,94.4167,69.91,28,40,1.9,MM,1712874758
184,papatowai,-46.5619,169.4708,46.62,81,100,4.72,NZ,1712874674
185,troitsko-pechorsk,62.7084,56.1964,38.7,99,100,14.0,RU,1712874760
186,el granada,37.5027,-122.4694,85.91,71,0,20.71,US,1712874660
187,tabou,4.423,-7.3528,79.93,81,100,4.5,CI,1712874762
188,fagaras,45.85,24.9667,52.25,59,25,3.33,RO,1712874762
189,thurso,58.5927,-3.5259,53.85,78,100,10.76,GB,1712874763
190,santa elena de uairen,4.6167,-61.1333,80.56,45,99,6.22,VE,1712874709
191,saldanha,-33.0117,17.9442,62.65,60,7,12.03,ZA,1712874765
